"","county","vfc_num","fips","abbr","pop_2022","chip_pcnt","child_num","child_unins_num","child_unins_perc","chip_num","patient_provider_ratio"
"1","Cherokee",9,"45021","SC",56121,47.8,12960,727,5.6,6194.88,769.097777777778
"2","Sumter",11,"45085","SC",104012,49.4,24680,1161,4.7,12191.92,1213.90181818182
"3","Abbeville",4,"45001","SC",24356,47.2,4768,335,7,2250.5,646.375
"4","Greenville",68,"45045","SC",547950,39.3,124780,6716,5.4,49038.54,819.919705882353
"5","York",22,"45091","SC",294248,37.4,71567,3223,4.5,26766.06,1363.13909090909
"6","Aiken",11,"45003","SC",174150,46,37044,2155,5.8,17040.24,1745.02181818182
"7","Jasper",9,"45053","SC",32039,50.6,5858,533,9.1,2964.15,388.572222222222
"8","Beaufort",16,"45013","SC",196371,43.5,35886,2552,7.1,15610.41,1135.150625
"9","Allendale",3,"45005","SC",7579,57.9,1520,55,3.6,880.08,311.693333333333
"10","Charleston",66,"45019","SC",419279,41.3,82495,5054,6.1,34070.43,592.794393939394
"11","Dorchester",23,"45035","SC",166133,42.4,40717,2433,6,17264.01,856.391739130435
"12","Chesterfield",10,"45025","SC",43683,50.2,9822,676,6.9,4930.64,560.664
"13","Anderson",17,"45007","SC",209581,44.2,46742,2664,5.7,20659.96,1371.99764705882
"14","Georgetown",12,"45043","SC",64722,49.6,10978,729,6.6,5445.09,514.5075
"15","Pickens",15,"45077","SC",133462,42.4,24436,1285,5.3,10360.86,776.390666666667
"16","Kershaw",9,"45055","SC",67751,44.6,15629,860,5.5,6970.53,870.058888888889
"17","Horry",36,"45051","SC",383101,46.7,64189,4910,7.6,29976.26,969.062777777778
"18","Lexington",19,"45063","SC",304797,41.7,71333,3469,4.9,29745.86,1748.15052631579
"19","Richland",37,"45079","SC",421566,44.7,88826,4189,4.7,39705.22,1186.33027027027
"20","Bamberg",5,"45009","SC",12908,52.4,2467,129,5.2,1292.71,284.342
"21","Spartanburg",34,"45083","SC",345831,44.9,76139,4457,5.9,34186.41,1136.57088235294
"22","Lancaster",15,"45057","SC",104577,42.6,21950,1251,5.7,9350.7,706.78
"23","Barnwell",4,"45011","SC",20414,54.7,4798,294,6.1,2624.51,729.6275
"24","Berkeley",25,"45015","SC",245117,42.1,56990,3442,6,23992.79,1097.3916
"25","Oconee",11,"45073","SC",80180,46.3,15796,1097,6.9,7313.55,764.595454545454
"26","Calhoun",3,"45017","SC",14179,48.2,2729,185,6.8,1315.38,500.126666666667
"27","Marion",9,"45067","SC",28450,56.1,6452,366,5.7,3619.57,442.841111111111
"28","Lee",2,"45061","SC",16153,56.7,3069,140,4.6,1740.12,940.06
"29","Marlboro",7,"45069","SC",26039,56,4962,291,5.9,2778.72,438.531428571429
"30","Darlington",15,"45031","SC",62398,51.2,14334,727,5.1,7339.01,537.734
"31","Dillon",6,"45033","SC",27738,55.8,7405,452,6.1,4131.99,763.998333333333
"32","Laurens",10,"45059","SC",67965,47.6,14554,896,6.2,6927.7,782.37
"33","Greenwood",14,"45047","SC",69267,48.2,15794,1187,7.5,7612.71,628.550714285714
"34","Williamsburg",9,"45089","SC",30058,53.1,5776,285,4.9,3067.06,372.451111111111
"35","Chester",6,"45023","SC",31931,51,7145,384,5.4,3643.95,671.325
"36","Clarendon",5,"45027","SC",30913,51.6,5988,356,5.9,3089.81,689.162
"37","Hampton",4,"45049","SC",18113,54.5,3862,216,5.6,2104.79,580.1975
"38","Florence",31,"45041","SC",136721,47.3,31894,1640,5.1,15085.86,539.543870967742
"39","Colleton",9,"45029","SC",38599,51.1,8264,525,6.4,4222.9,527.544444444444
"40","Orangeburg",18,"45075","SC",83094,55.2,17770,693,3.9,9809.04,583.446666666667
"41","Edgefield",5,"45037","SC",26932,47.8,4764,325,6.8,2277.19,520.438
"42","Newberry",7,"45071","SC",38247,46.3,8128,653,8,3763.26,630.894285714286
"43","Saluda",6,"45081","SC",18938,48.6,4312,451,10.5,2095.63,424.438333333333
"44","Fairfield",6,"45039","SC",20455,53.7,3938,189,4.8,2114.71,383.951666666667
"45","McCormick",2,"45065","SC",9764,53.6,971,66,6.8,520.46,293.23
"46","Union",6,"45087","SC",26752,51.1,5499,296,5.4,2809.99,517.665
